user,date,text,retweet_count,like_count,reply_count,quote_count
elonmusk,2025-09-12 06:24:44+00:00,Yes https://t.co/wZenS7yh0T,16244,168315,4658,398
elonmusk,2025-09-12 00:25:30+00:00,It has indeed come to this https://t.co/vNoYCV1uth,35362,266566,6850,820
elonmusk,2025-09-11 21:00:15+00:00,Anyone who celebrates murder is evil and should be utterly condemned https://t.co/AyPhMSMAfq,47015,376796,18367,1841
elonmusk,2025-09-11 08:28:47+00:00,He was murdered https://t.co/KDaomi5AlJ,22381,282614,10053,667
elonmusk,2025-09-11 03:00:04+00:00,They are celebrating cold-blooded murder https://t.co/QW8q7wFuRQ,59224,472564,25246,2409
elonmusk,2025-09-10 20:03:04+00:00,Exactly https://t.co/Wct4kqElrn,28886,245970,8350,557
elonmusk,2025-09-10 19:28:43+00:00,"The shot looked real bad, but I sure hope Charlie makes it somehow",30297,646018,20344,2115
elonmusk,2025-09-10 19:26:06+00:00,The Left is the party of murder https://t.co/qN1oToUHNc,134041,781012,37006,6847
